,Fuel Type Code,Station Name_x,Street Address,City,State,ZIP,Status Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network_x,Geocode Status,Latitude,Longitude,ID,EV Connector Types,Country,Access Code,Access Detail Code,Federal Agency Code,Facility Type,EV Pricing,REDC,County,Station Name_y,Level 2 Ports,Level 2 Locations,DCFC Ports,DCFC Locations,EV Network_y
1444,ELEC,NATIONAL GRID VENTLATHAM,207 Troy Schenectady Rd,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.74012,-73.731328,162364,J1772,US,public,,,,,Capital Region,Albany County,NATIONAL GRID VENTLATHAM,2,1,,,ChargePoint Network
1464,ELEC,DEPAULA DEPAULA EV CHAR,785 Central ave,Albany,NY,12206,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.678992,-73.788534,162384,J1772,US,public,,,,,Capital Region,Albany County,DEPAULA DEPAULA EV CHAR,2,1,,,ChargePoint Network
1476,ELEC,HAMPTON INN HAMPTON INN ALB,1442 Western Ave,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.679115,-73.83663,162397,J1772,US,public,,,,,Capital Region,Albany County,HAMPTON INN HAMPTON INN ALB,2,1,,,ChargePoint Network
1489,ELEC,STAYBRIDGE TURF 1,39 Wolf Rd Colonie,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.712685,-73.811791,162412,J1772,US,public,,,,,Capital Region,Albany County,STAYBRIDGE TURF 1,2,1,,,ChargePoint Network
1516,ELEC,KEELER BMW STATION 01,1111 Troy-Schenectady Road,Latham,NY,12110,E,24 hours daily,,1,,,ChargePoint Network,GPS,42.766981,-73.814216,162444,J1772,US,public,,,,,Capital Region,Albany County,KEELER BMW STATION 01,1,1,,,ChargePoint Network
1522,ELEC,BMW S. ALBANY STATION 01,521-641 US-9W,Glenmont,NY,12077,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.588972,-73.797298,162451,J1772,US,public,,,,,Capital Region,Albany County,BMW S. ALBANY STATION 01,2,1,,,ChargePoint Network
1580,ELEC,PICOTTE 11 CORPORATE 5,11 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.68343,-73.76667,163514,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 11 CORPORATE 5,2,1,,,ChargePoint Network
1592,ELEC,ADAMS STATION CLUBHOUSE,1 Juniper Dr,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.60735,-73.84772,164115,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION CLUBHOUSE,2,1,,,ChargePoint Network
1614,ELEC,BEVERWYCK STATION 2,3 Autumn Dr,Slingerlands,NY,12159,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.657453,-73.838373,164420,J1772,US,public,,,,,Capital Region,Albany County,BEVERWYCK STATION 2,2,1,,,ChargePoint Network
1615,ELEC,BEVERWYCK STATION 4,12 Hickory Dr,Slingerlands,NY,12159,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.65928,-73.83685,164421,J1772,US,public,,,,,Capital Region,Albany County,BEVERWYCK STATION 4,2,1,,,ChargePoint Network
1616,ELEC,BEVERWYCK STATION 3,10 Autumn Dr,Slingerlands,NY,12159,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.655716,-73.83983,164422,J1772,US,public,,,,,Capital Region,Albany County,BEVERWYCK STATION 3,2,1,,,ChargePoint Network
1618,ELEC,FOODBANK LATHAM PARKING TWO,959 Albany Shaker Rd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.764423,-73.8144,164452,J1772,US,public,,,,,Capital Region,Albany County,FOODBANK LATHAM PARKING TWO,2,1,,,ChargePoint Network
1651,ELEC,APDC ADMIN LOT PORT 1.2,106 Smith Blvd,Albany,NY,12202,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.626232,-73.75825,165222,J1772,US,public,,,,,Capital Region,Albany County,APDC ADMIN LOT PORT 1.2,2,1,,,ChargePoint Network
1662,ELEC,ADAMS STATION 101 CATLYN CT,101 Catlyn Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.606495,-73.84793,165391,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 101 CATLYN CT,2,1,,,ChargePoint Network
1663,ELEC,ADAMS STATION 708 CATLYN CT,708 Catlyn Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.606503,-73.848,165392,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 708 CATLYN CT,2,1,,,ChargePoint Network
1664,ELEC,ADAMS STATION 101 DERZEE CT,101 Derzee Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.606556,-73.84992,165393,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 101 DERZEE CT,2,1,,,ChargePoint Network
1665,ELEC,ADAMS STATION 501 DERZEE CT,501 Derzee Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.60619,-73.850716,165394,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 501 DERZEE CT,2,1,,,ChargePoint Network
1666,ELEC,ADAMS STATION 701 ELKIN CT,701 Elkin Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.607304,-73.85,165395,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 701 ELKIN CT,2,1,,,ChargePoint Network
1667,ELEC,ADAMS STATION 301 ELKIN CT,301 Elkin Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.607437,-73.85094,165396,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 301 ELKIN CT,2,1,,,ChargePoint Network
1668,ELEC,ADAMS STATION 701 BAXTER,701 Baxter Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.608073,-73.849243,165397,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 701 BAXTER,2,1,,,ChargePoint Network
1669,ELEC,ADAMS STATION 101 BAXTER CT,101 Baxter Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.60808,-73.84867,165398,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 101 BAXTER CT,2,1,,,ChargePoint Network
1670,ELEC,ADAMS STATION 101 ASTOR CT,101 Astor Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.609016,-73.84676,165399,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 101 ASTOR CT,2,1,,,ChargePoint Network
1671,ELEC,ADAMS STATION 401 ASTOR CT,401 Astor Ct,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.60918,-73.84738,165400,J1772,US,public,,,,,Capital Region,Albany County,ADAMS STATION 401 ASTOR CT,2,1,,,ChargePoint Network
1672,ELEC,PICOTTE 22 CORPORATE 4,22 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.681427,-73.76838,165498,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 22 CORPORATE 4,2,1,,,ChargePoint Network
1678,ELEC,BETHLEHEM EV FLEET #1,445 DELAWARE AVE (NY-443),Delmar,NY,12054,E,24 hours daily,,1,,,ChargePoint Network,GPS,42.62047,-73.8394,165630,J1772,US,public,,,,,Capital Region,Albany County,BETHLEHEM EV FLEET #1,1,1,,,ChargePoint Network
1701,ELEC,BETHLEHEM EV TOWNHALL PUBLIC,445 NY-443,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.620461,-73.839323,166770,J1772,US,public,,,,,Capital Region,Albany County,BETHLEHEM EV TOWNHALL PUBLIC,2,1,,,ChargePoint Network
1702,ELEC,PICOTTE 12 CORPORATE 4,12 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.68571,-73.76649,166798,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 12 CORPORATE 4,2,1,,,ChargePoint Network
1731,ELEC,ROSEWOOD PLAZA STATION 1,New Karner Rd & Watervliet Shaker Rd,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.74278,-73.83929,168352,J1772,US,public,,,,,Capital Region,Albany County,ROSEWOOD PLAZA STATION 1,2,1,,,ChargePoint Network
1732,ELEC,ROSEWOOD PLAZA STATION 2,501 New Karner Rd,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.742687,-73.83932,168353,J1772,US,public,,,,,Capital Region,Albany County,ROSEWOOD PLAZA STATION 2,2,1,,,ChargePoint Network
1808,ELEC,TCR TOWNE EV STATION 3,12 California  ave,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.704114,-73.81374,169945,J1772,US,public,,,,,Capital Region,Albany County,TCR TOWNE EV STATION 3,2,1,,,ChargePoint Network
1809,ELEC,TCR TOWERS EV STATION 3,422 Sand Creek Rd,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.711889,-73.809738,169946,J1772,US,public,,,,,Capital Region,Albany County,TCR TOWERS EV STATION 3,2,1,,,ChargePoint Network
1810,ELEC,"Walmart 2152 - Albany, NY",141 Washington Ave. EXT,Albany,NY,12205,E,24 hours daily,,,6,,Electrify America,GPS,42.69456,-73.848436,169948,CHADEMO J1772COMBO,US,public,,,,,Capital Region,Albany County,"Walmart 2152 - Albany, NY",,,6,1,Electrify America
1812,ELEC,LOUGHLIN DAWN SANDIDGE 1.1,271 Fuller Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.687836,-73.83313,169976,J1772,US,public,,,,,Capital Region,Albany County,LOUGHLIN DAWN SANDIDGE 1.1,2,1,,,ChargePoint Network
1847,ELEC,BA PLAZA BA PLAZA 1,1 Northwestern Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.745924,-73.821006,171197,J1772,US,public,,,,,Capital Region,Albany County,BA PLAZA BA PLAZA 1,2,1,,,ChargePoint Network
1850,ELEC,BETHLEHEM EV STATION TWO,265 Elm Ave,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.599927,-73.839915,171218,J1772,US,public,,,,,Capital Region,Albany County,BETHLEHEM EV STATION TWO,2,1,,,ChargePoint Network
1851,ELEC,BETHLEHEM EV STATION ONE,NY-32,Delmar,NY,12054,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.599942,-73.839959,171219,J1772,US,public,,,,,Capital Region,Albany County,BETHLEHEM EV STATION ONE,2,1,,,ChargePoint Network
1871,ELEC,TRICITYRENTALS WOODLAKE,61 Woodlake Rd N,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.67736,-73.84706,171664,J1772,US,public,,,,,Capital Region,Albany County,TRICITYRENTALS WOODLAKE,2,1,,,ChargePoint Network
1886,ELEC,BURNS MGT OXFORD 5,6203 Johnston Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.685246,-73.870747,173863,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT OXFORD 5,2,1,,,ChargePoint Network
1887,ELEC,BURNS MGT OXFORD 4,6203 Johnston Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.685296,-73.870736,173864,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT OXFORD 4,2,1,,,ChargePoint Network
1888,ELEC,BURNS MGT HV 3,102 Bleeker Rd,Guilderland,NY,12084,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.690962,-73.887467,173885,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT HV 3,2,1,,,ChargePoint Network
1889,ELEC,BURNS MGT HV 1,102 Bleeker Rd,Guilderland,NY,12084,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.690931,-73.887646,173886,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT HV 1,2,1,,,ChargePoint Network
1905,ELEC,BURNS MGT HV 4,222 Heritage Rd,Guilderland,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.692516,-73.885172,173985,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT HV 4,2,1,,,ChargePoint Network
1906,ELEC,ROSENBLUM300 3 WINNERS 1,3 Winners Cir,Albany,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.721029,-73.797244,173998,J1772,US,public,,,,,Capital Region,Albany County,ROSENBLUM300 3 WINNERS 1,2,1,,,ChargePoint Network
1932,ELEC,HUDSON PRESERVE BLDG 22 #2,1901 Beryl Way,Watervliet,NY,12189,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.733055,-73.728065,174205,J1772,US,public,,,,,Capital Region,Albany County,HUDSON PRESERVE BLDG 22 #2,2,1,,,ChargePoint Network
1973,ELEC,PICOTTE 80 WOLF ROAD 1,80 Wolf Rd,Colonie,NY,12205,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.715393,-73.81351,174639,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 80 WOLF ROAD 1,2,1,,,ChargePoint Network
1980,ELEC,BURNS MGT SCH COMM BLD 3,1 Broom Shop Lane,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.741644,-73.787819,174712,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT SCH COMM BLD 3,2,1,,,ChargePoint Network
1981,ELEC,BURNS MGT SCH COMM BLDG 3,1 broom shop lane,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.741644,-73.787651,174713,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT SCH COMM BLDG 3,2,1,,,ChargePoint Network
1982,ELEC,BURNS MGT SCH COMM BLD 2,1 broom shop rd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.739933,-73.78839,174714,J1772,US,public,,,,,Capital Region,Albany County,BURNS MGT SCH COMM BLD 2,2,1,,,ChargePoint Network
1983,ELEC,HARMONY MILLS 1 WEST 1 1.4,100 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.781513,-73.705635,174726,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 1 1.4,2,1,,,ChargePoint Network
1984,ELEC,HARMONY MILLS 1 WEST 1 1.5,100 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.781464,-73.705574,174727,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 1 1.5,2,1,,,ChargePoint Network
1985,ELEC,HARMONY MILLS 1 WEST 1 1.3,100 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.781548,-73.705635,174728,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 1 1.3,2,1,,,ChargePoint Network
1986,ELEC,HARMONY MILLS 1 FALLSVIEW 1.4,100 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.781666,-73.705376,174729,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 FALLSVIEW 1.4,2,1,,,ChargePoint Network
1987,ELEC,HARMONY MILLS 1 FALLSVIEW 1.5,100 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.781628,-73.70534,174730,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 FALLSVIEW 1.5,2,1,,,ChargePoint Network
1988,ELEC,HARMONY MILLS 1 WEST 2 2.1,100 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.778606,-73.70292,174731,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 2 2.1,2,1,,,ChargePoint Network
1989,ELEC,HARMONY MILLS 1 WEST 2 2.2,100 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.778507,-73.70284,174732,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 2 2.2,2,1,,,ChargePoint Network
1990,ELEC,HARMONY MILLS 1 WEST 2 2.5,50 N Mohawk St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.778316,-73.70262,174733,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 2 2.5,2,1,,,ChargePoint Network
1991,ELEC,HARMONY MILLS 1 WEST 1,Mohawk St & Cohoes Mills,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.781628,-73.70572,174734,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 WEST 1,2,1,,,ChargePoint Network
1992,ELEC,HARMONY MILLS 1 FALLSVIEW 1.1,Mohawk St & Cohoes Mills,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.78178,-73.705505,174735,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 FALLSVIEW 1.1,2,1,,,ChargePoint Network
1993,ELEC,HARMONY MILLS 1 FALLSVIEW 1.2,Mohawk St & Cohoes Mills,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.781742,-73.705475,174736,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 FALLSVIEW 1.2,2,1,,,ChargePoint Network
1994,ELEC,HARMONY MILLS 1 FALLSVIEW 1.3,Mohawk St & Cohoes Mills,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.781723,-73.705444,174737,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 FALLSVIEW 1.3,2,1,,,ChargePoint Network
1995,ELEC,HARMONY MILLS 1 RIVERVIEW 1.2,N Mohawk St & Vliet St,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.78053,-73.70403,174738,J1772,US,public,,,,,Capital Region,Albany County,HARMONY MILLS 1 RIVERVIEW 1.2,2,1,,,ChargePoint Network
2024,ELEC,PRIMA LOFTS LL ALB LOFTS 1.1,1373 Broadway,Menands,NY,12204,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.676205,-73.73344,175102,J1772,US,public,,,,,Capital Region,Albany County,PRIMA LOFTS LL ALB LOFTS 1.1,2,1,,,ChargePoint Network
2025,ELEC,PRIMA LOFTS LL ALB LOFTS 1.4,1373 Broadway,Menands,NY,12204,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.676277,-73.733406,175103,J1772,US,public,,,,,Capital Region,Albany County,PRIMA LOFTS LL ALB LOFTS 1.4,2,1,,,ChargePoint Network
2026,ELEC,PRIMA LOFTS LL ALB LOFTS 1.3,1373 Broadway,Menands,NY,12204,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.676273,-73.73341,175104,J1772,US,public,,,,,Capital Region,Albany County,PRIMA LOFTS LL ALB LOFTS 1.3,2,1,,,ChargePoint Network
2027,ELEC,PRIMA LOFTS LL ALB LOFTS 1.5,1373 Broadway,Menands,NY,12204,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.67617,-73.73342,175105,J1772,US,public,,,,,Capital Region,Albany County,PRIMA LOFTS LL ALB LOFTS 1.5,2,1,,,ChargePoint Network
2036,ELEC,COLE GROUP COLUMBIA 1,32 Columbia Gardens,Cohoes,NY,12047,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.770966,-73.71627,175243,J1772,US,public,,,,,Capital Region,Albany County,COLE GROUP COLUMBIA 1,2,1,,,ChargePoint Network
2042,ELEC,PICOTTE 1450 WESTERN 1.,1450 western ave,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.680122,-73.838684,175372,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 1450 WESTERN 1.,2,1,,,ChargePoint Network
2050,ELEC,MARKET 32 EV PEDIATRICEV3,81 Schoolhouse Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.678916,-73.844846,175506,J1772,US,public,,,,,Capital Region,Albany County,MARKET 32 EV PEDIATRICEV3,2,1,,,ChargePoint Network
2051,ELEC,MARKET 32 EV PEDIATRICEV2,81 Schoolhouse Rd,Albany,NY,12203,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.678982,-73.844918,175507,J1772,US,public,,,,,Capital Region,Albany County,MARKET 32 EV PEDIATRICEV2,2,1,,,ChargePoint Network
2069,ELEC,CENTROTHERM CT4021 LOT,427 S Pearl St,Albany,NY,12202,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.63788,-73.75896,175801,J1772,US,public,,,,,Capital Region,Albany County,CENTROTHERM CT4021 LOT,2,1,,,ChargePoint Network
2079,ELEC,ALBANY COUNTY TIMES UNION GAR,100 Beaver St,Albany,NY,12207,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.649224,-73.756071,180103,J1772,US,public,,,,,Capital Region,Albany County,ALBANY COUNTY TIMES UNION GAR,2,1,,,ChargePoint Network
2159,ELEC,PICOTTE 11 CORPORATE 3,11 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.683434,-73.76655,180633,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 11 CORPORATE 3,2,1,,,ChargePoint Network
2160,ELEC,PICOTTE 11 CORPORATE 1,11 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.68346,-73.76684,180634,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 11 CORPORATE 1,2,1,,,ChargePoint Network
2161,ELEC,PICOTTE 11 CORPORATE 4,11 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.68342,-73.76665,180635,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 11 CORPORATE 4,2,1,,,ChargePoint Network
2162,ELEC,PICOTTE 11 CORPORATE 2,11 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.683434,-73.76678,180636,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 11 CORPORATE 2,2,1,,,ChargePoint Network
2172,ELEC,BEVERWYCK STATION 1,3 Autumn Dr,Slingerlands,NY,12159,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.657418,-73.838337,180882,J1772,US,public,,,,,Capital Region,Albany County,BEVERWYCK STATION 1,2,1,,,ChargePoint Network
2173,ELEC,FOODBANK LATHAM PARKING ONE,959 Albany Shaker Rd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.764454,-73.81441,180889,J1772,US,public,,,,,Capital Region,Albany County,FOODBANK LATHAM PARKING ONE,2,1,,,ChargePoint Network
2174,ELEC,FOODBANK LATHAM PARKING 3,959 Albany Shaker Rd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.764626,-73.81445,180890,J1772,US,public,,,,,Capital Region,Albany County,FOODBANK LATHAM PARKING 3,2,1,,,ChargePoint Network
2175,ELEC,FOODBANK LATHAM PARKING FOUR,959 Albany Shaker Rd,Latham,NY,12110,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.764587,-73.814445,180891,J1772,US,public,,,,,Capital Region,Albany County,FOODBANK LATHAM PARKING FOUR,2,1,,,ChargePoint Network
2181,ELEC,APDC ADMIN LOT PORT 1.3,106 Smith Blvd,Albany,NY,12202,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.62624,-73.75831,181003,J1772,US,public,,,,,Capital Region,Albany County,APDC ADMIN LOT PORT 1.3,2,1,,,ChargePoint Network
2182,ELEC,APDC ADMIN LOT PORT 1.1,106 Smith Blvd,Albany,NY,12202,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.626225,-73.75818,181004,J1772,US,public,,,,,Capital Region,Albany County,APDC ADMIN LOT PORT 1.1,2,1,,,ChargePoint Network
2185,ELEC,PICOTTE 22 CORPORATE 5,22 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.68139,-73.768394,181106,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 22 CORPORATE 5,2,1,,,ChargePoint Network
2186,ELEC,PICOTTE 22 CORPORATE 1,22 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.681602,-73.768196,181107,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 22 CORPORATE 1,2,1,,,ChargePoint Network
2187,ELEC,PICOTTE 22 CORPORATE 2,22 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.681545,-73.768265,181108,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 22 CORPORATE 2,2,1,,,ChargePoint Network
2188,ELEC,PICOTTE 22 CORPORATE 3,22 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.681465,-73.76832,181109,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 22 CORPORATE 3,2,1,,,ChargePoint Network
2191,ELEC,BETHLEHEM EV FLEET #2,445 DELAWARE AVE (NY-443),Delmar,NY,12054,E,24 hours daily,,1,,,ChargePoint Network,GPS,42.620464,-73.839424,181132,J1772,US,public,,,,,Capital Region,Albany County,BETHLEHEM EV FLEET #2,1,1,,,ChargePoint Network
2194,ELEC,PICOTTE 12 CORPORATE 3,12 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.685726,-73.76646,181233,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 12 CORPORATE 3,2,1,,,ChargePoint Network
2195,ELEC,PICOTTE 12 CORPORATE 2,12 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.685814,-73.76638,181234,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 12 CORPORATE 2,2,1,,,ChargePoint Network
2196,ELEC,PICOTTE 12 CORPORATE 1,12 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.685856,-73.766365,181235,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 12 CORPORATE 1,2,1,,,ChargePoint Network
2197,ELEC,PICOTTE 12 CORPORATE 5,12 Corporate Woods Blvd,Albany,NY,12211,E,24 hours daily,,2,,,ChargePoint Network,GPS,42.685658,-73.766685,181236,J1772,US,public,,,,,Capital Region,Albany County,PICOTTE 12 CORPORATE 5,2,1,,,ChargePoint Network
